,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,2_avg_f1,3_avg_f1,4_avg_f1
0,npp_c_cali,0.1966717095310136,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.2003012048192771, 0.2003012048192771]","[1, 1]",0.09554978288949685,0.0,0.18965595431963886,0.0,0.19254317723834855
1,npp_c_grav,0.2447844228094576,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.1943620178041543, 0.1943620178041543]","[0, 0]",0.12817634007027376,0.014737013515714053,0.24298896899731393,0.0149812734082397,0.23999810435982735
2,npp_c_sand,0.2604790419161677,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.2526475037821483, 0.2526475037821483]","[4, 4]",0.12916619444970084,0.0,0.25852272727272724,0.0,0.25814205052607614
3,npp_g_basn,0.4046692607003891,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.32894736842105265, 0.32894736842105265]","[5, 5]",0.3935240737276633,0.3901699479984295,0.3864953796571557,0.3960400770201355,0.4013908902349325
4,npp_g_ibpe,0.4478764478764479,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3709677419354839, 0.3709677419354839]","[10, 10]",0.4365226686916408,0.4337952907218967,0.42312138728323706,0.4434184816447418,0.44575551511668743
5,npp_g_summ,0.6153846153846153,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9561403508771931, 0.9561403508771931]","[21, 21]",0.19192055347780135,0.0,0.6081730769230768,0.0,0.1595091369881286
6,npp_m_nort,0.4125,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3138686131386861, 0.3138686131386861]","[3, 3]",0.40299469105520774,0.3995178937074051,0.4077669902912621,0.3962868773492209,0.40840700287294296
7,npp_m_rabb,0.4426229508196721,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3609022556390977, 0.3609022556390977]","[0, 0]",0.4302224355006987,0.4276533069190165,0.4130657659601311,0.43888208908375925,0.441288580039888
8,npp_m_well,0.7044534412955465,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.7846607669616519, 0.7846607669616519]","[0, 0]",0.40883910566527915,0.2770336774305309,0.5223876089101077,0.4159933449752826,0.41994179134519566
9,npp_p_coll,0.4951456310679612,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.391812865497076, 0.391812865497076]","[3, 3]",0.48173150236104884,0.4735011088924281,0.4767772604793259,0.48470594596055855,0.4919416941118826
10,npp_p_smal,0.6537717601547389,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.5727923627684964, 0.5727923627684964]","[0, 0]",0.5991240334423923,0.5954887370262048,0.6108404245595903,0.5925921001606559,0.5975748720231181
11,npp_p_tobo,0.4600811907983762,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3646496815286624, 0.3646496815286624]","[3, 3]",0.44564980279247735,0.4411007648819422,0.4323204671673966,0.4522823150818774,0.4568956640386932
12,npp_t_east,0.4253164556962025,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3352855051244509, 0.3352855051244509]","[3, 3]",0.4123926387313932,0.4098638497060005,0.40366236291744645,0.4144459315602789,0.42159841074184695
13,npp_t_tayl,0.4729064039408867,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3724340175953079, 0.3724340175953079]","[5, 5]",0.46208861815686025,0.458792276890507,0.4524306595080801,0.4655771643663739,0.4715543718624798
14,npp_t_west,0.4122919334186939,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3279648609077599, 0.3279648609077599]","[5, 5]",0.4011583576006126,0.3993472129891131,0.3945079698818354,0.40331602383189685,0.407462223699605
