,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,2_avg_f1,3_avg_f1,4_avg_f1
0,npp_c_cali,0.6956521739130435,2,2,['1'],[0.9262048192771084],[10],0.2787507444487708,0.0,0.692806970747755,0.0,0.4221960070473283
1,npp_c_grav,0.7236180904522613,2,3,['0'],[0.9183976261127595],[16],0.3236663320466839,0.014737013515714053,0.712946128059076,0.0149812734082397,0.5520009132037057
2,npp_c_sand,0.7462686567164177,2,2,['1'],[0.9228441754916792],[16],0.29381569923689943,0.0,0.7437318146562623,0.0,0.43153098229133574
3,npp_g_basn,0.7870619946091645,2,1,['1'],[0.8845029239766082],[15],0.4949675018834367,0.3901699479984295,0.769268058593051,0.3960400770201355,0.42439192392213027
4,npp_g_ibpe,0.802721088435374,2,2,['0'],[0.8724340175953079],[7],0.534903853464102,0.4337952907218967,0.801513080777834,0.4533465594653858,0.450960482891291
5,npp_g_summ,0.5974025974025974,2,1,['0'],[0.9546783625730996],[22],0.17860538942372464,0.0,0.5924941200531751,0.0,0.12192743764172335
6,npp_m_nort,0.8029197080291971,1,1,['0'],[0.8817518248175182],[3],0.5583144345789239,0.5336655437020401,0.7993731713648055,0.3962868773492209,0.5039321458996292
7,npp_m_rabb,0.8264984227129336,2,1,['0'],[0.8966165413533834],[4],0.5570891543431479,0.4276533069190165,0.8226767500219543,0.43888208908375925,0.5391444713478611
8,npp_m_well,0.8148148148148149,2,2,['2'],[0.8893805309734514],[9],0.5223776574904063,0.39266437340940236,0.81134265153873,0.4159933449752826,0.46951026003821034
9,npp_p_coll,0.8442437923250565,2,2,['3'],[0.8991228070175439],[20],0.5691725402613005,0.4735011088924281,0.8327590777389379,0.48470594596055855,0.4857240284532782
10,npp_p_smal,0.8797814207650273,2,1,['0'],[0.8949880668257757],[8],0.6866149736098804,0.6867252819751583,0.8748207572762857,0.5925921001606559,0.5923217550274222
11,npp_p_tobo,0.8367346938775511,2,2,['4'],[0.8980891719745223],[9],0.551140828374992,0.4412903225806452,0.8355782312925171,0.4524874470892671,0.4752073125375385
12,npp_t_east,0.8010075566750631,2,1,['0'],[0.8843338213762811],[12],0.5398461727914136,0.41020351055482207,0.7999983037766413,0.4149811813537358,0.5342016954804545
13,npp_t_tayl,0.8167770419426049,2,1,['0'],[0.8782991202346041],[12],0.5473911203364309,0.4593423744468705,0.8039203831917651,0.4617314930991217,0.4645702306079665
14,npp_t_west,0.7828418230563003,2,2,['0'],[0.8814055636896047],[20],0.5146305525206268,0.49241740546088364,0.7617295475459693,0.40192642666629697,0.40244883040935675
