,metric,param_index,run_index,indexes,accuracies,false_negatives,false_positives,true_positives,true_negatives
0,0.05617597894081989,1,1,1,0.4003490147957739,6381,1766,783,0
1,0.056852153197092775,1,2,1,0.4004173443374372,6479,1790,793,0
2,0.05714451574021175,2,1,1,0.40047828262844776,6511,1798,797,0
3,0.05617597894081989,2,2,1,0.4003490147957739,6381,1766,783,0
4,0.056061172450161165,2,3,1,0.4004327637972831,6330,1754,780,0
5,0.05723857784405706,3,1,8,0.4007978844040202,6489,1794,801,0
6,0.05699907753252668,3,2,6,0.4004478927124283,6495,1794,795,0
7,0.05640227112527892,3,3,2,0.4003247362561849,6431,1778,787,0
8,0.05613838133506869,4,1,3,0.40037685905296544,6364,1762,782,0
9,0.056061172450161165,4,3,5,0.4004327637972831,6330,1754,780,0
