,metric,param_index,run_index,indexes,accuracies,false_negatives,false_positives,true_positives,true_negatives
0,0.029411764705882356,1,2,1,0.8631924992219109,1783,250,0,512
1,0.029411764705882356,1,3,1,0.86305856539507,1815,257,0,521
2,0.029411764705882356,2,1,1,0.86305856539507,1815,257,0,521
3,0.029411764705882356,2,2,1,0.86305856539507,1815,257,0,521
4,0.029411764705882356,2,3,1,0.8630608908238736,1803,255,0,517
5,0.029411764705882356,3,1,2,0.8633002764854886,1767,246,0,508
6,0.029411764705882356,3,2,1,0.8630091887952577,1811,257,0,519
7,0.029411764705882356,3,3,4,0.8628829656862745,1807,258,0,516
8,0.029411764705882356,4,1,2,0.8630608908238736,1803,255,0,517
9,0.029411764705882356,4,2,2,0.8633002764854886,1767,246,0,508
