,metric,param_index,run_index,indexes,accuracies,false_negatives,false_positives,true_positives,true_negatives
0,0.02985791978512812,1,1,0,0.6808117364170767,1711,2793,317,4847
1,0.04261789324914368,1,2,0,0.5609199368570943,1515,3847,513,6045
2,0.03575012342478783,1,3,0,0.5258601216140542,1643,4371,385,5521
3,0.034459754926924165,2,1,0,0.6262435353603507,1662,3363,366,4681
4,0.03225390008832655,3,1,0,0.6529732149312679,1440,2767,588,7137
5,0.028190501821333463,3,2,0,0.7655099373470446,1568,1368,460,6045
6,0.035620772025269656,3,3,0,0.5394316466183872,1645,4282,383,5256
7,0.03523039972330425,4,1,0,0.6010566280050564,1650,3556,378,5278
8,0.031912642491780975,4,2,0,0.6737603848380163,1447,2507,581,6788
9,0.03845017050442523,4,3,0,0.5410386475106407,1539,4066,489,5357
