,metric,param_index,run_index,indexes,accuracies,false_negatives,false_positives,true_positives,true_negatives
0,0.43721127572775176,1,1,6,0.3697263866249442,7834,453,3903,870
1,0.3654720156235008,1,3,0,0.3537890621174123,7727,311,3505,1012
2,0.3654720156235008,2,1,0,0.3537890621174123,7727,311,3505,1012
3,0.3654720156235008,2,2,0,0.3537890621174123,7727,311,3505,1012
4,0.4768583793249309,2,2,2,0.40697165592857504,6703,600,5034,723
5,0.3654720156235008,2,3,0,0.3537890621174123,7727,311,3505,1012
6,0.43721127572775176,2,3,5,0.3697263866249442,7834,453,3903,870
7,0.3654720156235008,3,1,0,0.3537890621174123,7727,311,3505,1012
8,0.43721127572775176,3,2,6,0.3697263866249442,7834,453,3903,870
9,0.4719888467865207,4,3,3,0.39979962659313584,6787,619,4950,704
