,metric,param_index,run_index,indexes,accuracies,false_negatives,false_positives,true_positives,true_negatives
0,0.02567359122537736,1,1,0,0.7874039540785696,1630,1118,398,6295
1,0.029411764705882356,1,2,4,0.8823529411764706,1614,0,0,0
2,0.023121899362154502,1,3,3,0.8719894905853159,1712,0,261,0
3,0.01999043519846963,2,2,5,0.8680817154447986,1779,0,209,0
4,0.05931759083561741,2,3,0,0.7723127284928121,1494,2086,317,5287
5,0.025202298442035424,3,1,0,0.8379969601558168,1611,484,382,5525
6,0.025202298442035424,3,1,1,0.8379969601558168,1611,484,382,5525
7,0.03547411795104406,3,3,0,0.5287822851927616,1597,4256,371,4882
8,0.023233553776540204,3,3,5,0.872141521645333,1736,0,267,0
9,0.029196663740122912,4,2,0,0.7521576754204253,1703,1781,300,5524
