,metric,param_index,run_index,indexes,accuracies,false_negatives,false_positives,true_positives,true_negatives
0,0.5540369269886856,1,1,3,0.5086194983315868,5749,816,4910,507
1,0.5759905377758995,1,1,4,0.4707022579420082,6277,478,5460,845
2,0.5599939224986012,1,3,3,0.5161323542459199,5653,820,5006,503
3,0.5599939224986012,2,1,2,0.5161323542459199,5653,820,5006,503
4,0.5599939224986012,2,2,4,0.5161323542459199,5653,820,5006,503
5,0.6210822392707221,2,2,5,0.5084326728946302,5650,655,6087,668
6,0.5599939224986012,3,1,2,0.5161323542459199,5653,820,5006,503
7,0.5599939224986012,3,3,1,0.5161323542459199,5653,820,5006,503
8,0.5599939224986012,4,1,1,0.5161323542459199,5653,820,5006,503
9,0.5599939224986012,4,3,1,0.5161323542459199,5653,820,5006,503
