,metric,param_index,run_index,indexes,accuracies,false_negatives,false_positives,true_positives,true_negatives
0,0.03082919914953933,1,1,0,0.8610327202280592,1598,300,8,3080
1,0.049652507065378985,1,1,3,0.8914745194448797,1640,36,388,356
2,0.04988264089008803,1,2,2,0.8915905317303605,1616,36,382,350
3,0.049652507065378985,1,3,2,0.8914745194448797,1640,36,388,356
4,0.049652507065378985,2,1,2,0.8914745194448797,1640,36,388,356
5,0.049805382311430516,2,3,2,0.8915515856206502,1624,36,384,352
6,0.04349978803536789,2,3,3,0.8291589897169461,1460,858,126,8826
7,0.04984394268238404,3,1,3,0.8915710241226101,1620,36,383,351
8,0.049652507065378985,3,3,2,0.8914745194448797,1640,36,388,356
9,0.049652507065378985,3,3,3,0.8914745194448797,1640,36,388,356
