,metric,param_index,run_index,indexes,accuracies,false_negatives,false_positives,true_positives,true_negatives
0,0.349730108623829,1,1,0,0.3403625105305086,7875,294,3301,1023
1,0.3488724909602767,1,3,0,0.3392119938972946,7928,298,3809,1025
2,0.3654720156235008,2,1,1,0.3537890621174123,7727,311,3505,1012
3,0.349730108623829,3,1,0,0.3403625105305086,7875,294,3301,1023
4,0.3826587447124084,3,1,1,0.3669199465219807,7778,654,3598,663
5,0.349730108623829,3,2,0,0.3403625105305086,7875,294,3301,1023
6,0.35014480768513445,3,3,0,0.34091103144397816,7849,292,3299,1022
7,0.349730108623829,4,1,0,0.3403625105305086,7875,294,3301,1023
8,0.35111110547385976,4,2,0,0.3421451904981008,7795,288,3297,1020
9,0.35014480768513445,4,3,0,0.34091103144397816,7849,292,3299,1022
